freq,sigma_ext,sigma_sc,d_wall_p
1600,4.2185138239059241e-05,8.5578269304666234e-06,1.8000000000000003
1605,4.3547397409568153e-05,8.8962783009273532e-06,1.8000000000000003
1610,4.5003610389766816e-05,9.2554226502484552e-06,1.8000000000000003
1615,4.6564541824656644e-05,9.6369318734480498e-06,1.8000000000000003
1620,4.8241434697011386e-05,1.0042642139394489e-05,1.8000000000000003
1625,5.0045972953327835e-05,1.0474573013005506e-05,1.8000000000000003
1630,5.199025406462052e-05,1.0934949172471644e-05,1.8000000000000003
1635,5.4086775275491784e-05,1.1426225125008847e-05,1.8000000000000003
1640,5.6348437564647767e-05,1.1951113395654672e-05,1.8000000000000003
1645,5.8788571613190409e-05,1.2512616747295272e-05,1.8000000000000003
1650,6.1420990312896539e-05,1.3114065094165489e-05,1.8000000000000003
1655,6.4260072654789192e-05,1.3759157889985638e-05,1.8000000000000003
1660,6.7320884148298492e-05,1.4452012924119247e-05,1.8000000000000003
1665,7.0619339305362638e-05,1.5197222634288287e-05,1.8000000000000003
1670,7.4172412170891324e-05,1.5999919265213223e-05,1.8000000000000003
1675,7.7998401503531873e-05,1.6865850467340722e-05,1.8000000000000003
1680,8.2117257895720472e-05,1.7801467254203344e-05,1.8000000000000003
1685,8.6550981151660666e-05,1.8814026637797541e-05,1.8000000000000003
1690,9.1324097467199657e-05,1.9911711753610954e-05,1.8000000000000003
1695,9.6464227565011041e-05,2.1103772894672882e-05,1.8000000000000003
1700,0.00010200275904757217,2.2400693632876097e-05,1.8000000000000003
1705,0.00010797563900264557,2.3814387148481607e-05,1.8000000000000003
1710,0.00011442430631901033,2.5358429065007008e-05,1.8000000000000003
1715,0.00012139678772123592,2.7048334579585245e-05,1.8000000000000003
1720,0.00012894898739141907,2.8901889538885571e-05,1.8000000000000003
1725,0.00013714620737717258,3.0939547490590898e-05,1.8000000000000003
1730,0.00014606494571830014,3.3184907748683403e-05,1.8000000000000003
1735,0.00015579503137101052,3.5665293366686715e-05,1.8000000000000003
1740,0.00016644217098865281,3.841245284280172e-05,1.8000000000000003
1745,0.00017813100286959995,4.1463415729775332e-05,1.8000000000000003
1750,0.00019100877978460852,4.4861540530535366e-05,1.8000000000000003
1755,0.00020524983623925987,4.8657803852900353e-05,1.8000000000000003
1760,0.00022106103959027102,5.2912393599578546e-05,1.8000000000000003
1765,0.00023868848109894722,5.7696686856085603e-05,1.8000000000000003
1770,0.00025842573607918226,6.3095716435934509e-05,1.8000000000000003
1775,0.00028062411634386389,6.9211260272235877e-05,1.8000000000000003
1780,0.00030570545806739839,7.6165726878190586e-05,1.8000000000000003
1785,0.00033417814003501936,8.410706016755937e-05,1.8000000000000003
1790,0.00036665721441517767,9.3214949991470112e-05,1.8000000000000003
1795,0.00040388975609073217,0.00010370871220824765,1.8000000000000003
1800,0.00044678678572406764,0.00011585729253318333,1.8000000000000003
1805,0.00049646336295149378,0.00012999194418535651,1.8000000000000003
1810,0.00055428859189794993,0.00014652220858619891,1.8000000000000003
1815,0.00062194714172908938,0.00016595583898689086,1.8000000000000003
1820,0.00070151305825012398,0.00018892313633668838,1.8000000000000003
1825,0.0007955343224028185,0.0002162055805551257,1.8000000000000003
1830,0.00090712122894270886,0.00024876717419744672,1.8000000000000003
1835,0.0010400202815023757,0.00028778368054169581,1.8000000000000003
1840,0.0011986327443788242,0.00033465832789693009,1.8000000000000003
1845,0.0013878949496073016,0.00039099991105600793,1.8000000000000003
1850,0.0016128651866903617,0.00045851691185003066,1.8000000000000003
1855,0.0018777536455468953,0.0005387466279795606,1.8000000000000003
1860,0.0021840131962541851,0.00063249747204590235,1.8000000000000003
1865,0.0025271041362548755,0.00073887106405407486,1.8000000000000003
1870,0.002891982899340049,0.00085384772647192214,1.8000000000000003
1875,0.0032487547397154187,0.00096883003231342153,1.8000000000000003
1880,0.0035523074849275736,0.0010702860507260325,1.8000000000000003
1885,0.003751002937756208,0.0011421154165322937,1.8000000000000003
